,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-06-30,0.3409799171618209,-0.6124767225325884,,,-1.871639307127683,-1.014313356932696,,,-0.3257086908272932,-0.0011357183418512,-0.4280190921748797,,,-0.6855218502412928,-1.180868267197413,-1.5355831853167554,,,-0.6496838441190154,-0.213926586433446,,-0.4470177170303156,0.1639014782719493,,-0.3888338891756056,2.2257942827288675,,-1.2461994478863203,,-0.7615618121496668,,,,,,-1.7859821732989138,,,,,,,-0.7328164701283472,,0.7377509277430596,,-0.7321130378933847,,-0.0295316123602737,,,,,0.3950618803849713,-0.7518603488337893,,,,,-2.433162267839687,0.5573930798064994,,,0.5124633720089878,,-1.2027586206896552,,-0.1947261663286004,-0.0104845755763156,,0.2531818181818182,,,0.9639274626383066,0.3445037799455733,,,-1.338181818181818,-0.0829220138203356,,0.217416422021426,,,,,-0.6995970280821056,,,,,,-1.1032394792612776,1.5003750937734437,0.3926140366972477,,0.1723681573683648,,,-0.5623098858871544,,,-0.6880380436475431,0.4921340709376939,-0.1710160662778254,-0.2602739726027397,0.5955706984667802,-0.2352941176470588,350000000.0,,,-0.2411252070534065,0.0078372103178402,-0.3382326134225807,,-0.8369565217391305,,-287000000.0,-0.6264189400583219,,4.9216,-0.05315344603381
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3814713896457766,,-0.0592208256880733,,,,,,,,-0.2281313170588964,,0.0132464936960943,0.3744292237442922,-0.076320272572402,,-432000000.0,,,,-0.5476940978089655,,,,,,-1.170299208953431,,4.0566,0.1487452546467484
2022-12-31,0.4572811903535809,-0.4050279329608938,,,0.558472530652768,-0.6530592193821257,,-0.4389737127292257,-0.3257086908272932,-0.0011357183418512,0.3238567766841635,,-0.0871938612451789,0.3444170843447838,-1.2674461997760915,-1.7004144464179989,-0.0790101857774141,,-0.0620759339893741,-0.213926586433446,,-0.3051478261911658,0.0961728172046935,-0.2793229435564985,-0.2459808911445387,-1.0084171766549246,,-1.0521963692800895,0.5176186158960411,-0.6348521503305238,,-0.595807210031348,,,,-1.6889581608299644,,,,,,,0.3251117033607219,,-0.3147061217476237,0.9523809523809524,-0.5947976878612716,,-0.0398818066444367,,,,-0.0249549424649937,0.5116858197722483,-0.6448424953675108,,-0.2144547603634255,,,-1.822458455522972,0.8003460118041028,1.1390934701904527,,2.6411573788155525,,-0.2537931034482759,,0.2008113590263691,-0.1397943410175415,-0.010717230008244,0.1809090909090909,,0.4429347826086957,4.22162279558247,0.0011015287595735,,,-1.309090909090909,0.8173741362290227,,0.0931784665806111,,,,,0.0,,-0.5689576675194138,0.31872070581748,,,-2.013926733272782,5.0012503125781445,0.2343571559633027,,1.8940424833280296,0.5930408472012103,-2.7984862819299905,-2.488483190649674,0.7777777777777778,,-3.954961687691033,2.456411766261682,-1.2198952538216763,-0.9680365296803652,-0.0858603066439523,1.9411764705882355,-1479000000.0,,,-0.92329778702929,1.5391834240014888,-2.345491008876615,,0.6630434782608695,,-884000000.0,-4.870093141696211,,4.7547,-0.0622602598473911
2022-09-30,0.5999469318351535,-0.1860335195530726,,0.032458719091525,0.6955935530822572,-0.5490687817212211,25.981713657611927,,-0.3257086908272932,-0.0011357183418512,0.5560213742391754,-0.3459161502837971,,0.145090026370479,-0.1118298295807936,0.4997039668442866,,,0.2543005437448396,-0.213926586433446,,0.3072553538893236,0.1634965236467341,1.0594500427594775,-0.1041358303404039,-0.2568112696801079,-4.184322764690471,-0.5362626738076761,,0.0444491330048443,,,,,,-1.844820028249964,,,,,,,0.0771143336358553,,-0.0679912817776491,,0.1413615928066795,,1.2671072010227913,,,,,0.654747373017279,-0.2783170093238036,,,,,-0.9839931573802542,0.8042311866186859,0.3894964769038322,0.0,0.0,0.0701271914747335,-0.1949425287356321,-0.8586968669671795,0.0076064908722109,-0.1666778681362994,-0.1428964001099203,-0.0631818181818181,,-0.2472826086956521,-0.0195277322127615,0.0328001980998196,,,-1.0836363636363635,-0.0306021717670286,1.2931103678929765,0.1242379554408149,,,,,-0.9343911346178064,,6.199069703549733,0.0220567962503446,,,-1.0160460187708145,3.000750187546887,0.9877975229357798,,-1.0454132149905937,-0.1754916792738275,-0.3708609271523179,-0.4697557742349209,0.0350877192982456,,-1.0482605536356948,-0.8359218672149851,-0.0151015924537394,-0.3013698630136986,-0.0742759795570698,-0.5588235294117647,,,,-0.2807352278261998,-1.075320542305845,0.93143949057156,,-0.3347826086956522,,-206000000.0,-1.0594109987903504,,3.7358,-0.0353605653407569
2022-06-30,0.5800119028234471,-0.2180633147113594,,-0.0928654833226104,0.6503040676530979,-0.188274372011769,1.438594547631224,,-0.3255587283179205,0.0005678591709256,0.6293751175424968,-0.5237730849347382,,0.0898226250560299,-0.1471576066674959,0.432445233866193,,,0.1701501792333421,-0.213926586433446,,0.2656594124783141,0.1729117186829893,1.073323337954462,-0.085515516306027,-0.1776279683497953,-2.450394486840928,-0.4790667497805539,,0.0,,,,,,-1.1769519263552677,,,,,,,0.0515812711077306,,-0.0425902646517082,,0.0931920359666024,,1.244232725724593,,,,,0.6347570362708231,-0.2473455101620636,,,,,-0.5503421309872922,0.8065622915074356,0.0514429309118269,0.0,0.2014813257471234,-0.3863870745960811,-0.6565517241379311,-1.8075724273243177,0.3651115618661257,-0.3830902614423012,-0.1703764770541357,0.4595454545454545,,0.1168478260869565,-0.0010879473093039,-0.7860820931898721,,,-0.2981818181818181,1.1243830207305034,2.967134894091416,0.1242379554408149,,,,,-2.0990429416950005,,15.57783259246716,0.6561896884477529,,,-1.179533757190433,-9.00225056264066,0.9568342201834862,,-3.3736342594304976,0.2299546142208774,-0.7057710501419111,-0.6618492135131413,0.4269005847953216,,-1.449262970414958,-3.340955496167484,-0.2844084108771607,-0.2694063926940639,1.1522998296422486,0.0,,,,-0.249927433891805,-3.146160786168066,3.375036263521374,,-0.2434782608695652,,-348000000.0,0.0230691480397208,,4.0338,-0.084486092518221
2022-03-31,0.7493058200652234,-0.2407821229050279,,-0.1314895457052631,0.7932937121591158,0.223641773630011,21.032437118596363,,-0.3256087158210447,0.0,0.7076802385187922,0.0763834953063951,,0.1013371521046902,-0.3474312725463366,0.0511545293072824,,,0.4565503468626018,-0.213926586433446,,0.2643283423531618,0.2261632518987989,1.048054121706455,-0.0010344618907987,0.1077008339083746,-0.7616956400617912,-0.2154769931431043,,-0.001422372256155,,,,,,-0.4896010910330719,,,,,,,-0.0419328885905755,,0.0504402822871165,,0.0916506101477199,,1.31645286821809,,,,,0.8045206424738759,-0.1068266713726874,,,,,-0.0043988269794721,0.8143326411366018,-0.1249328322144367,0.0,1.9841530557271068,-0.3960123753867308,-0.1857471264367816,-1.203367730879559,0.0664300202839756,-0.4411586800188184,-0.39159109645507,-0.1977272727272727,,0.3940217391304347,-0.0010879473093039,-0.8653287665404874,,,0.0654545454545454,0.5360315893385982,1.752329988851728,0.0931784665806111,,,,,-1.3624228686563404,,8.906851512513365,-0.140612076095947,,,-0.1780199818346957,-13.50337584396099,0.9373388073394496,,-1.620346420399033,0.5385779122541604,0.8098391674550615,0.8260017888963478,0.7251461988304093,,0.3654428817895045,0.8087471910366605,-0.5111931000758311,0.0365296803652968,1.276320272572402,0.4705882352941176,,,,0.0449471651945444,-1.586695878481848,1.6198788273441551,,-0.1869565217391304,,412000000.0,-0.0262145009216482,,4.7833,-0.0094495432023915
2021-12-31,0.874604540996755,-0.3986964618249534,,-0.5412582075324905,0.9036212639163492,0.4651827813534387,1.2353309625341105,-0.6857775091119731,-0.3256087158210447,0.0,0.6075523789097587,-0.1352756389820495,0.0802992517024794,0.0631843663226279,-0.4011692996641373,-0.0511545293072824,0.0449960658090734,,0.6880541393598975,-0.213926586433446,-0.8362161760224295,0.3114704092856392,0.1975127121648177,-0.0761782639156583,0.1137289171055031,0.3538339941030635,0.816531321979009,-0.0227715088986985,-0.2700513750377757,0.0190834944367465,,-0.4179075235109717,,,,0.1837221762213238,,,,,0.0737539848168006,,-0.1239320189028298,,0.1320153503417049,1.1428571428571428,0.1138728323699422,,-0.0369658971160408,,,,0.0,0.9301669921155375,0.0013823935998117,,-0.0628574297616936,,,0.3377321603128054,0.8477451445420158,-0.1543287927354807,0.0,-0.2934619309795058,0.1361292540391887,0.1140229885057471,-0.0661376646922226,0.2271805273833671,-0.5844478795617986,-0.4509480626545754,0.029090909090909,,-0.6603260869565217,-0.0195277322127615,-0.8758949896539028,,,-0.2836363636363636,0.12142152023692,-0.2383946488294314,0.683308754924482,,,,,0.1676111320992318,,-2.6373756761936704,0.1240694789081885,,,0.6212534059945504,-11.002750687671918,0.9052287155963302,,1.2157342922095218,-0.6354009077155824,2.0681173131504256,1.648510969805819,-0.4093567251461988,,1.872033882683347,1.4376755155771417,-0.5253671431507481,0.6073059360730594,-0.0170357751277683,0.5,632000000.0,,,1.0043898905799802,0.9358610275889476,-1.2995266753114458,-0.4719300659695408,-0.1978260869565217,,854000000.0,0.1638795736436325,,4.4668,0.10322826184293
2021-09-30,0.8208082170369754,-0.2597765363128491,,-0.0859294721200917,0.8506701429484931,0.4448628107760206,17.429302435601304,,0.0259533936515871,3.9937535491198175,0.5701419698250648,0.3197003597866653,,0.0478103188324805,-0.5337728573205622,-0.303611604499704,,,0.7082791196716737,-0.213926586433446,,0.2585603718108351,-0.4879742296683502,0.9301311125490892,0.0741894848349744,0.3310496852531923,0.221744290380574,0.0200491050415357,,-0.0075859853661601,,,,,,0.1293653499585992,,,,,,,-0.1151139306098268,,0.1232428651961449,,0.0848426461143224,,1.3454321276721035,,,,,0.8762214156608493,0.0182946557251683,,,,,0.2832355816226784,0.8477451445420158,-0.0514429309118269,0.0,-0.0832205475912031,0.1223788243382605,-0.2482758620689655,-0.5247550571843683,-0.7682555780933062,-0.2000134417635593,-0.5974168727672438,-0.6931818181818182,,1.8396739130434785,0.0050586476585151,-0.2313553797355647,,,-0.5381818181818182,-0.3859822309970385,0.4741137123745819,0.2484759108816298,,,,,-0.4253872308273517,,1.4190641490053606,-0.7444168734491315,,,-0.7798970632758099,-9.502375593898474,0.9533938532110092,,0.2436488161196097,2.1482602118003027,-0.107852412488174,0.4435612143333453,2.280701754385965,,-0.7333490511932225,0.4626998606775678,-0.4403228847012466,-0.0821917808219178,0.8599659284497445,0.3235294117647059,,,,-0.0694817837046359,0.0114723266527731,-0.4162820518249482,-0.6105064513484602,0.0,,-59000000.0,-0.8429149694243362,,4.6024,-0.1218060142534329
2021-06-30,0.8191066759780234,-0.2273743016759776,,-0.0954268207928215,0.8476372797518471,0.465826400331004,0.0042439660025368,,0.0295524938765308,4.034639409426462,0.6108532973584081,0.3072624370017313,,0.0509072492621505,-0.1780072148277149,0.3737122557726465,,,0.1206712095420324,-0.213926586433446,,0.2367086372562515,-0.4673215437823709,0.8919795507628826,0.0810505312218103,0.3003636233745458,0.0480312542340593,0.0034093655781291,,-0.0309365965713716,,,,,,0.0767619697043495,,0.3706262856262445,,,,,-0.1055443351358394,,0.1137227593234032,,0.0596660244059088,,1.3439003117634645,,,,,0.8745151538472149,0.0297067560810612,,,,,0.2870234604105572,0.8469681095790992,0.1543287927354807,0.0,-0.1971012969265337,0.5706428325885184,0.5682758620689655,0.1331942530020241,0.2494929006085192,-0.3551313932387929,-0.2044517724649629,-0.17,,-0.5244565217391305,-0.0133811372449423,-0.7807989816331644,,,0.5454545454545454,2.751233958538993,-0.6876254180602007,0.0,,,,,0.4556730890316081,,-5.034514210165515,-0.1053212020953956,,,0.6224644262791402,77.51937984496124,0.9591277981651376,,1.5265804701702628,-0.4841149773071104,2.1002838221381266,1.7218557375302304,-0.2631578947368421,,1.9105482390971744,1.7746060551477,-0.4970190570009142,1.0593607305936072,0.9969335604770015,0.4411764705882353,,,,1.030796571095176,1.2123436994164918,-1.626621303787273,,-0.0043478260869565,,849000000.0,1.1495525528710149,,3.6653,0.1027201047663221
2021-03-31,0.7642806371338595,-0.2065176908752327,,-0.0878561418985691,0.8025894060658167,0.3211040759470394,17.970060275199288,,0.0322518190452386,,0.4538762866893005,0.1329170710680884,,0.0273892061496189,-0.3121034954596343,,,,0.1715948206841833,,,0.1925614781053667,-0.4653980093125983,0.8498641903495376,0.0631905908849436,0.2501165784736171,-0.3742435225737124,-0.0342717569682089,,-0.0781119430671798,,,,,,-0.0773464517071745,,0.3734457290894856,,,,,-0.0893505674939811,,0.0976127384925192,,0.0085420680796403,,1.3211478679213002,,,,,0.8195370056676704,0.0,,,,,0.0460654936461388,0.8446370046903493,-0.1396308124749587,0.0,0.1095007205147409,0.3080096253007906,0.3163218390804597,-0.3011337530579046,-0.6328600405679513,-0.0424759728476376,-0.363011816433086,-0.8986363636363637,,0.0896739130434782,0.0480848124332494,-0.8177807625301182,,,,0.5883514313919053,0.0,-0.0621189777204074,,,,,-0.2996473995718423,,0.1298707719337792,-0.9881444720154398,,,-0.0750832576445655,41.01025256314079,0.9338984403669724,,0.4579716062603681,0.199697428139183,1.0198675496688745,0.922048508535458,0.3976608187134502,,0.6169189736680256,0.6919220290750098,-0.4828450139259973,0.54337899543379,1.3056218057921636,0.4117647058823529,,,,0.5334707547256609,0.2618676930178576,-0.5674153036742307,,-0.0152173913043478,,386000000.0,-0.0420556738020883,,4.1326,-0.0572520931132943
