,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.9648931167874713,,,,-0.6196580849407126,0.3308736792400762,,,0.5104908447453455,-0.7527678331229435,4.390825618934962,,,-0.0016187262706639,7.827523216734787,,,,-11.528041020633616,,,1.3950614325838957,1.3994330059342763,,0.8970646794775498,-0.6588958097353996,,0.4218041815058104,0.9637283285082028,1.204781153402959,,,,,,-7.937280004845237,,,,,,,-5.054311680020536,,0.4323015159304044,,,,0.001672215592228,,,,,0.9648931167874713,0.6531276589754746,,,,,-0.9982416857761808,0.4386796417391065,,,,,,,,3.727829533302797,,,,,,,,,,,,-0.4444444444444444,,,,,,,,,,,8.218879581443241,0.56,,,0.7686687987417813,,,0.9248513323591976,,,0.9888108069608984,-0.4221035155368455,0.3076694296296411,1.1199204737910649,,0.4109596600629104,,,,5.101218161683278,0.8020694466509639,-0.205124237438794,1.2388588387343833,1.106584169974317,,3.071511448160474,,,21.2051,0.0449586155003762
2023-06-30,0.9849973352200476,,,,-0.6196212363223256,0.5851655434202699,,,0.4876934913063548,-0.8294187033089833,3.9734357344300135,,,-0.2183083771654012,3.545283827961942,,,,-5.064891214863877,,,1.403399757730655,1.3626245638174217,,0.9298660856900988,-0.2811676652158869,,0.5799594935219723,0.9697181458187748,1.2143288277577595,,,,,,-6.155146461551616,,,,,,,-6.035389784301347,,0.62202153215658,,,,0.0017009892392715,,,,,0.9849973352200476,0.6856593890008972,,,,,-0.8071355173775737,0.4071363545302837,0.3142756146581776,,,,-0.6764649104570699,,6.346938906895015,1.8458301547642129,3.749607781343543,6.860795590967689,,-0.0560335868977844,,-0.1747594171020071,,,-0.0466127279314092,-0.7786830870725338,,11.12962962962963,,,,,9.25778589189988,3.588116137744767,-0.8450110612106301,6.845202942203339,,,6.006331227562408,2.893333333333333,2.381026372663964,,0.6011936676948567,-0.0797357074864214,0.6445585669474269,0.601232602314132,-0.071955533097524,,0.651375798295387,-0.2307696999491315,0.084369767164475,0.7197753069017389,,0.6449325936433842,,,,3.5693949461391323,0.6430362409723203,-0.3137568540859371,1.2165286487003972,0.8628735699276209,,2.191536181279212,,,20.5607,0.0807025052648984
2023-03-31,0.9170934903029324,,,,-0.6388422851190673,0.6016346454568312,,,0.4804308355131558,-0.853837717029158,3.664416605772375,,,0.974359128888685,1.7104756268136625,,-0.3962911929166407,,-2.294508869578647,,,1.411764705882353,1.3383610962654806,,0.8971720353290215,-0.2297336951177316,,0.6009452846381076,0.8080929087218396,1.2239069863857237,,,,,,-5.462528679530297,,,,,,,-6.168979887690975,,-0.5499044094803212,,,,0.001729854756197,,,,,0.9170934903029324,0.6545166559556842,,,,,-0.7942184231705638,0.5454154719916171,1.283661851399174,,,,-2.532479199989817,,2.4423879866750693,1.1192257640631045,1.8421540071520768,2.376688571460233,,0.2979590140083967,,-0.1747594171020071,,,-71.69399830938292,-2.136452485833088,,4.730864197530864,,,,,1.8723352264992024,3.175653515964117,2.4075015427032675,2.37088212842256,,,-2.936659894804219,-1.3733333333333333,1.5258570762646024,,-0.1937591596175721,0.3971107004871493,-0.4920615885288073,-0.5016407943892517,-0.2738756947953512,,-0.4983381211272287,0.4107099508271313,-0.1160351507134083,-0.6652009719869981,,0.8549164602654703,,,,-1.7325279371791,-0.1064464467032625,-0.4983963123224675,1.1760088076205064,-1.4521363530235816,,-1.5259752305090295,,,22.2644,-0.1324491115862093
2022-12-31,0.9048139005684483,,,,1.0244013798113396,0.8781987992812859,,0.551392758516769,0.654168333589783,-0.2696852430519628,3.1220370946043845,,,-0.2962735946705899,1.002090857800621,,0.4057427837388545,0.2510019438911421,-1.2237116599183224,,,1.420145627837014,1.9844549896516657,,0.8842722792280965,-0.2379877988818677,,0.606915933768365,0.9637283285082028,1.2335034355775856,,,,,,-3.892504310836231,,,,,,,-6.147541399214675,,0.6437093122714426,,,,1.2803760116676954,,,,,0.9048139005684483,0.6404388089791123,,,,,-0.58642159438501,0.6373653863649921,0.3570119291828131,,,,-2.1470245696805645,,0.3060327715469667,1.0247898757669842,1.1057221553715777,2.5363918778650767,0.7215302491103203,0.0177910795194745,,0.7857496366707255,,,-10.656683975365294,-2.243266249343564,,7.883950617283951,,,,,2.10713433797956,1.3294106298832835,1.6028545933073188,2.523226363846168,,,-0.8032031837030028,-4.8133333333333335,1.4341530942324807,,-0.4285712783829871,0.0197099501651828,0.1063831788446977,0.0811238345806027,0.0177867609903991,,0.105880677096935,0.1682344000263491,0.198546075286223,-0.5018356247961878,,0.5252988894912305,,,,-1.1071378234168932,0.0,-0.167520706239799,5.139725240534202,-2.9286131216437075,,-0.5236073981122811,,,19.1296,0.0209003622729461
2022-09-30,0.824159189756845,,,-0.6023923643171059,0.9358960810135464,0.8970742446449049,0.6172129933923051,-0.0579644629776555,0.6826527158024311,-0.1739130434782608,3.175816959161126,0.1636503268245341,,0.823953037596781,0.9100229515598682,,2.6185742605943694,0.3739662578895582,-1.0814671078933833,3.526137357233877,,1.434378286277172,2.069194746070461,,0.9102785586134992,-0.2370254038205889,0.6703697247417193,0.6376882775891325,2.5723270440251573,1.2498003280107792,,2.44660703584753,,,,-3.998196395998404,,,,,,,-6.1500410401230585,,-0.5511968136190993,,,,1.1998315914819018,,,,,0.824159189756845,0.6675170862648966,,,,,-0.5712964530279045,0.7044915346088003,1.351755844502523,0.0,1.0391811520181,3.956565023413591,-2.190181673928816,0.2836026646492903,1.477350550543963,0.5837495459690946,1.0100090039201486,2.2220828392749623,-0.2553380782918149,0.2241343475911377,-0.2634082315072346,-0.174790840174398,,,-37.22086704504287,-2.105510637958523,-1.0242960592605717,31.516049382716048,,,,,1.5019775263641093,1.0087778528021607,0.0330042609069403,2.151891543236542,,,5.282998914646703,-0.0133333333333333,1.4090658680943031,,1.2015326129694928,0.2976650428355451,1.4454845581907194,1.3806124987263564,0.2686205154118241,,1.4579022340400276,0.5532027017630748,0.0758655623076291,0.6204937778105046,,0.6538432822497136,,,,3.189328500956408,1.174611288016412,-0.219522001534359,0.8296395577042746,-4.856204763016577,,1.882044846963828,2.444202053082074,,20.6047,-0.042136017510568
2022-06-30,0.8560289490328199,,,-0.7268931199482617,0.954850083213816,1.2279864351900116,0.4720863793106008,0.7966185090195644,0.7861024773042007,0.1739130434782608,2.905161907043238,0.2082359815934425,,-0.6538774895366031,0.4800417181023463,,0.1774751309016881,-0.4398569680097914,-0.8042963558941006,,,-0.1542856382199859,2.4052795550851127,,0.9999793582282108,0.0098153224190993,0.6703697247417193,0.7392608427113976,3.61731722738012,-0.5692755107639969,,5.278155955119478,,,,-2.526063636493188,,,,,,,0.0572075703929302,,0.7681724026612766,,,,1.2272456193936807,,,,,0.8560289490328199,0.7533664865678306,,,,,-0.4330294006238183,0.8521535478551019,1.1464834414113634,0.0,0.4617833655542704,-0.461118690313779,-2.232901776433302,-0.728180487862016,-1.8634130220653928,1.1312739874369966,0.5630035206893866,0.4481654273651082,0.8879003558718861,1.1274888805753005,-0.7909080492098711,-0.1747594171020071,,,-45.64883468180172,-2.073673260466207,-0.8823120702445938,6.8432098765432094,,,,,-1.2461220353103943,-0.3277708112279348,-0.4170296390807632,0.4349099645539058,,,6.20259928199705,0.0533333333333333,0.66746712245561,,1.4112939004569032,1.5145304888291615,1.4577472406025291,1.4048569790826466,1.3667508842849925,,1.4702832316421737,0.6363098512859235,0.4180629930773604,0.8110305797208167,,0.295289508110512,,,,3.9187355280378537,1.3722645599860277,-0.3839044437731322,0.8389976544923652,-3.967910926920383,,2.231036426791788,2.914616689380644,,20.612,0.0107801280807297
2022-03-31,0.92579502466471,,,-0.469346495969299,1.000670704857185,1.860292514211776,0.2438423941188991,23.35529026821903,0.905530081551008,0.5754609606191669,2.5914623287502248,0.266350551766116,,-0.8444292879947332,1.013836971698304,,0.0135124323267163,,-1.6099664596288763,1.3563576937829136,,-0.155398479826418,2.82545771034591,,1.1168370645704442,0.2626280261504561,1.2679104256183251,0.843290818658537,4.643106718578417,-0.5705497533822301,,4.201653056884929,,,,0.0598573861369207,,,,,,,0.0357033935028104,,0.8951516361391215,,,,1.2669236885856845,,,,,0.92579502466471,0.8685659065473168,,,,,0.0406549743457415,0.9931822911981092,-1.7826326360199678,0.0,-1.9202457936903243,0.0609367894497498,-1.2966043267415368,-0.7480688239829746,-7.381110329825655,3.3115392854209724,1.1179333332332182,0.1156972040913573,223.51601423487543,0.1690983913206135,0.0855776743023219,-0.1747594171020071,,,-43.33317232218331,-1.6447098478131297,-2.006012423460632,2.5481481481481483,,,,,-1.653849689378839,1.5134561589659496,-1.746143805891265,0.1123238790690518,,,9.770517351737956,0.0,0.8441512578927295,,2.538038827316634,0.223528753009687,2.3845614827146733,2.289174855459249,0.2017180394138454,,2.406039742646186,1.31371948653327,0.844797486844816,1.3450448649842737,,-0.1518420292348494,,,,5.963032316520689,2.426267328852756,-0.731359820223547,0.7958451007610933,-5.977863063273406,,3.727004564715296,4.930862902356044,,22.7515,-0.1039755620508538
2021-12-31,1.0001679433342374,,,-0.0709785523683792,1.0547625942168553,2.425472162090894,0.0217125209320606,0.8930106832481502,0.8438344360670872,0.3680235084742255,2.093269420120371,1.2154896269531712,,-0.919598478457105,3.1394320675512986,,1.94255793899848,1.7921908373131106,-4.817460920423508,1.355085227944077,,-0.1567615776792726,2.6517765313860995,,1.215140008059144,0.3584201628029793,1.802015432860012,0.8827083539516855,4.660377358490566,-0.5721105481682001,,2.009389230552556,,,,3.239692291797298,,,,,,,-7.696599368331737,,0.9432647724879484,,,,1.309161932527433,,,,,1.0001679433342374,0.9660611265550988,,,,,0.46402697147789,0.8522540304750972,-5.570143344977101,0.0,-7.386051851789317,0.1995870358762582,-9.606298552802963,4.903545204968206,-23.406300944004247,10.233815967833022,3.327687129542962,10.44660660394434,-0.2722419928825623,0.0513779773039032,1.0169526131024929,0.8134962095918928,,,24.0043473010506,-10.655647005380857,0.4985605616024271,3.319753086419753,,,,,14.214994758013374,1.4131378412269702,0.8480660085218139,10.454168614525203,,,1.32531377842095,,1.1564420211037814,,0.8462960977138015,0.0649532448625343,1.4324176883609157,1.3655940358760477,0.0586154623547246,,1.4447092899028988,1.284281638184788,1.470610924108104,-0.0628320166626342,,-0.8075680799332591,,,,0.5734420618141548,1.2046721419049131,-0.1362406466040897,5.237757886171078,0.5704091758113472,,0.2855656791605288,0.2924465404488543,,24.1268,-0.1035073030820498
2021-09-30,0.9994964718209948,,,-0.2842215395634042,1.0528042289789854,2.451022573266531,0.0213999318944609,0.502128039067353,0.8438098168949069,0.36794073215653,2.0477227329268333,1.203603826027816,,-0.823193086833804,9.88813250408906,,-0.4366258034118891,,-15.00043093087296,1.3540018141727246,,-0.1579755867044713,2.6394601089893723,,1.2720185500101204,0.0339595214247992,1.8261610343465515,0.7491959464651033,,-0.5735006310244545,,2.0354029222599324,,,,3.432406266032036,,,,,,,0.0043480735207733,,0.7802992136855283,,,,1.3069073537531846,,,,,0.9994964718209948,1.0263289119590864,,,,,0.4830870462030282,0.8419550239854509,1.0503491361736017,0.0,1.6647014005554943,-0.3563782063099935,-0.3943569498126832,-0.8312169327128797,3.307478427818404,9.251222814238073,10.343588906363737,-0.1410580052231666,0.0,-0.0031591636529908,1.305553298540579,-0.174790840174398,,,-0.3296703296703296,-0.4653965819831964,-0.1050485533644104,6.064197530864197,,,,,-1.5566291640631271,1.7113919166586284,0.5137952079744503,-0.1531756504861263,,,2.4826065176856926,,0.7054934809938835,,1.5689770454989875,-0.0085111148440562,2.198173412905562,2.106334860946589,-0.0076806467913087,,2.2178533273189145,1.4632069591014942,2.221849765243671,0.1837623470750975,,-1.59471461450316,,,,1.51744689419108,1.5135458367829044,0.0331821431909016,0.7575032310564358,0.5381303992528601,,0.7200538309054868,0.8780651613346014,,23.6634,-0.0821859918693003
2021-06-30,0.9038687180704204,,,-32.422716504026695,0.950301278927658,2.4120339242897177,-0.0213999318944609,1.905886549686022,0.8448192029543007,0.3713345611820458,1.9203744898000377,0.7921561350085573,,-0.9838564266758508,8.930177896256968,,-0.4311461565130813,,-13.555312966660148,1.3529402141014664,,-0.1591682973257191,2.6290621396407574,,1.2673974490684083,0.0876391382732686,1.7893160546622184,0.771284588242899,0.4819140793983561,-0.5748663264621782,,2.088291905654802,,,,3.551643639913356,,0.6328937300265562,0.0,1.7851518009208496,,,-0.0043480735207733,,0.8072606618255952,,-0.5736491589426708,0.5791109300334442,1.2268384888245938,,,,2.7727985810436926,0.9038687180704204,1.0207973041635956,,,,,0.4537921013518269,0.9138824363511372,0.5558852513872418,-3.288497574955908,1.0092125146682651,-0.2721384413062448,-0.9067669507885124,-0.4819674104328136,1.2376706121184766,8.88110613358711,9.347705995512412,0.270636864326954,-0.1352313167259786,0.0033254354242008,2.071414731710366,-0.1747594171020071,,,-22.9687235841082,-0.8157376925226231,0.6768073256341833,7.041975308641975,0.3810863359947048,-0.2080766018341932,,0.5088455566952034,-0.9756006176351834,2.7728368862737534,1.4646464304610285,0.2566853463834924,,,-1.24638911307155,,0.8197420648934217,,0.9681019274884196,0.0002239767064225,1.5581672051430373,1.4867003155220573,0.0002021222839818,,1.5716720875572754,1.4406345264046472,2.20886884781191,-0.4519108380758023,,-1.581113235537579,,,,-0.916017316017316,0.9664035618322676,0.0568173569471037,0.9617059977980948,0.5036189586738268,,-0.789823049084329,-1.1569764591687666,0.44839968774395,23.9806,-0.0943262470496985
