,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.9859482698366766,,,,-0.6086691787153774,0.3353929828550515,,,0.5145328298209283,-0.7527678331229435,4.359150023533347,,,-0.0034121264740641,8.043019251301526,0.939261039286494,,,-11.68001590146142,-1.2390450126503054,,1.3684172280989504,1.3994330059342763,,0.8997816520753207,-0.5583920767425207,,0.4218041815058104,0.9851224274708128,1.4402027089511291,,,,,,-7.937280004845237,,,,,,,-5.054311680020536,,0.4323015159304044,,1.0453990271419478,,0.001672215592228,,,,0.4483486870724468,0.9859482698366766,0.6531276589754746,,,,,-0.9982416857761808,0.4434671275826682,,,5.507134897029159,,-1.9718309261463576,,22.80600759228518,3.727829533302797,,8.412109031742343,,0.8060925600468658,65.90650526411326,1.047912131407085,,,-64.28710570005533,-1.4779656962755554,,39.830262423227246,,,,,5.151033337025141,,,,,,8.218879581443241,42000.0,,,0.7666522000575179,,,0.9248513323591976,,,0.9934293879495116,-0.4221035155368455,0.3076694296296411,1.1199204737910649,0.0603646280941085,0.4109596600629104,,,,5.101218161683278,0.8020694466509639,-0.2091170595356314,1.1745372851783007,1.106584169974317,,8.83639873053581,9.183940166022849,,53.74,0.0406337371854613
2023-06-30,1.0060063176974414,,,,-0.6086325287930368,0.5910537308345933,,,0.4919722256060421,-0.8294187033089833,3.945214011105605,,,-0.2164657457093636,3.643585910024907,0.1947744175245887,,,-5.130952320856155,-1.2390450126503054,,1.3765454526580228,1.3626245638174217,,0.932644689491138,-0.2153887579579629,0.0623839396235216,0.5799594935219723,0.9910048284708208,1.4479263638773636,,,,23126000.0,,-6.155146461551616,,0.4711408457270735,1.0,3.4058029940373142,,,-6.035389784301347,,0.62202153215658,,1.0549387623320572,0.4853296479364655,0.0017009892392715,,,,0.4237970765659467,1.0060063176974414,0.6856593890008972,,,,,-0.8071355173775737,0.4115795959033864,0.4315811424635898,34.478604568618,0.3918442775890194,0.2679955894007787,-0.6588096253530152,,6.120190483287176,1.8458301547642129,3.749607781343543,6.577657903837541,,-0.0594191982592685,-0.2197086585587221,-0.6807639026320997,,,-0.0442722744881018,-0.7670146754653797,0.0,10.06030150753769,0.4343982472230714,0.5060423376551876,,2.2066146630297387,8.807881271458633,3.588116137744767,-0.8450110612106301,6.845202942203339,,,6.006331227562408,217000.0,2.9686393133224747,,0.600059609401553,-0.0797357074864214,0.6566265744975517,0.601232602314132,-0.0559508124725516,,0.6549416527744701,-0.2307696999491315,0.084369767164475,0.7197753069017389,-0.5305897314109734,0.6449325936433842,,,,3.5693949461391323,0.6430362409723203,-0.319617922146597,1.1532575351526415,0.8628735699276209,,6.591303056736141,6.701939672885675,0.0,52.11,0.0713874496257915
2023-03-31,0.9382584181287388,,,,-0.627749933367235,0.6076114880353312,,,0.4847849920818614,-0.853837717029158,3.638751994106431,,,0.9561889134307648,1.7585636956800117,-0.1242152594269772,-0.383496736683102,,-2.323743658345743,-1.2390450126503054,,1.3846996294027882,1.3383610962654806,,0.8998892096398,0.3976710299588079,0.0815753040240552,0.6009452846381076,0.832278041487267,35.90341732273756,,,,23324000.0,,-5.462528679530297,,0.4642640682549303,1.0,3.0889545890235803,,,-6.168979887690975,,-0.5499044094803212,,43.61202640179586,0.3755454609744527,0.001729854756197,,,,0.4076130934736663,0.9382584181287388,0.6545166559556842,,,,,-0.7942184231705638,0.5513678085091442,1.4665603294534892,5.598935172273914,1.2654384006814003,-1.0295303400985494,-2.515205910498051,,2.3540692965061965,1.1192257640631045,1.8421540071520768,2.2763551015085977,,0.2969286132730772,8.934073788346343,-0.6807639026320997,,,-65.71245157719977,-2.114554459624882,0.3917719657608107,4.272473478503629,0.2152247019260165,2.0343656233655407,,0.7880650821635287,1.7781902757780486,3.175653515964117,2.4075015427032675,2.37088212842256,,,-2.936659894804219,103000.0,2.186044106621164,,-0.1907040706946587,0.3971107004871493,-0.5000738828582795,-0.5016407943892517,-0.2314448836187966,,-0.4983591331269349,0.4107099508271313,-0.1160351507134083,-0.6652009719869981,0.0,0.8549164602654703,,,,-1.7325279371791,-0.1064464467032625,-0.5074327795704011,1.114643797967818,-1.4521363530235816,,-2.893246227798296,-3.805108079230706,0.0,36.49,0.5300082214305288
2022-12-31,0.9260070292259136,,,-0.8739465417324332,1.026525147258791,0.8856644200826803,,0.0015511388425553,0.6567182360823487,-0.2696852430519628,3.1008606354270745,,,-0.2931227143064329,1.0307922452049834,-0.2473711448669172,0.4200416108530225,0.3214067032402912,-1.238712486433277,1.8787971827853505,,1.3928693774589695,1.9844549896516657,,0.8869652159349987,-0.1761784484479786,,0.606915933768365,0.9851224274708128,1.463437790916321,,,,,,-3.892504310836231,,,,,,,-6.147541399214675,,0.6437093122714426,,1.0740974259162803,,1.2803760116676954,,,,0.8385643836882081,0.9260070292259136,0.6404388089791123,,,,,-0.58642159438501,0.6443212089609569,0.4699938197175247,,-1.5052256840992144,,-2.129671947837563,,0.2934552073113347,1.0247898757669842,1.1057221553715777,2.4295477609147964,0.7215302491103203,0.0148966440706335,-27.62704211290616,-1.8906194339996043,,,-9.76889872717211,-2.2205634740846008,,7.124511446119486,,,,,2.001679034223059,1.3294106298832835,1.6028545933073188,2.523226363846168,,,-0.8032031837030028,-361000.0,2.1021225988262366,,-0.424278804674632,0.0197099501651828,0.1089434153024261,0.0811238345806027,0.022046552481335,,0.1077447011193141,0.1682344000263491,0.198546075286223,-0.5018356247961878,-0.1750069992213801,0.5252988894912305,,,,-1.1071378234168932,0.0,-0.1708668289607372,4.891902062972551,-2.9286131216437075,,-0.3358883465414524,-0.9791238596202844,,45.4,-0.1549295774647887
2022-09-30,0.8455375469090148,,,-0.6414398227159188,0.9384970889582196,0.9046414742470648,1.3796077501042137,-0.0040744791369824,0.6849068095992203,-0.1739130434782608,3.154195475369171,0.7662071179720119,,0.8083066219947906,0.936204675570496,-0.2633775654022979,2.6370236839855217,0.4481683293852786,-1.0945770968474722,1.8896535164503168,,1.4067434159304897,2.069194746070461,,0.9130203590270568,-0.1753045270714807,0.8114599943374899,0.6376882775891325,2.5648738960285624,1.4766212708766175,,1.264352201048191,,2930000.0,,-3.998196395998404,,0.6557415264114878,1.0,2.587975832816665,,,-6.1500410401230585,,-0.5511968136190993,,1.0903807670166397,0.3271370016353896,1.1998315914819018,,,,0.8950866751615896,0.8455375469090148,0.6675170862648966,,,,,-0.5712964530279045,0.7121799316255338,1.03749219890815,5.493243414547575,0.8860482097516068,5.571896213087075,-2.1728379344659525,0.5048490617001299,1.4232457502107818,0.5837495459690946,1.0100090039201486,2.128052202801762,-0.2553380782918149,0.2226127709431751,-25.685412506807044,-0.6807243221848407,,,-34.11621472053127,-2.083845731733056,-0.7823546408135678,28.500279173646007,-0.4098644655049424,0.8037382663033006,,0.4374604983035061,1.4256728319858234,1.0087778528021607,0.0330042609069403,2.151891543236542,,,5.282998914646703,-1000.0,2.079164404457199,,1.1972349603911214,0.2976650428355451,1.4717022670371778,1.3806124987263564,0.2400527009222661,,1.463984281971898,0.5532027017630748,0.0758655623076291,0.6204937778105046,-0.0326964622244013,0.6538432822497136,,,,3.189328500956408,1.174611288016412,-0.2237624340219778,0.7845681898527751,-4.856204763016577,,5.80169261891947,5.823292512533903,-1.0,36.9492,-0.1153123748281424
2022-06-30,0.8773341153263545,,,-0.6785682597421895,0.9573488869113168,1.2373350050568486,1.2338434321696428,0.0038150758936185,0.7872822511877208,0.1739130434782608,2.8857800748618474,0.7791840678928604,,-0.6447260499491415,0.4944559541991853,-0.3381317411630188,0.1913457975888505,-0.3907869101884552,-0.8137219515888842,-1.2390450126503054,,-0.1418909800583405,2.4052795550851127,,1.0028896992274552,0.5624853519611849,0.8114599943374899,0.7392608427113976,3.5911241104910987,14.487492833054876,,2.6886361710609843,,1169000.0,,-2.526063636493188,,0.7536948109468973,1.0,2.3104634925774588,,,0.0572075703929302,,0.7681724026612766,,17.16052767041007,0.3863007323050519,1.2272456193936807,,,,1.119258708900036,0.8773341153263545,0.7533664865678306,,,,,-0.4330294006238183,0.8614534392991718,0.4647648160154143,4.829764470248207,0.4209380984885256,-0.6207918403914406,-2.2155668294090565,-0.6458595554444913,-1.799076285769088,1.1312739874369966,0.5630035206893866,0.426452329793808,0.8879003558718861,1.1319775713448823,-1.548988019604284,0.1835939046111221,,,-41.84084117321528,-2.052248221262306,-0.7040265616857486,6.183137911781128,-0.0156679914399266,-2.3831530266743743,,-0.7762613515401503,-1.1900498394063572,-0.3277708112279348,-0.4170296390807632,0.4349099645539058,,,6.20259928199705,-4000.0,1.4005015641562606,,1.405890872963999,1.5145304888291615,1.4841815903060904,1.4048569790826466,1.194466403162055,,1.4764039056918314,0.6363098512859235,0.4180629930773604,0.8110305797208167,1.2853021922536378,0.295289508110512,,,,3.9187355280378537,1.3722645599860277,-0.3909718986018716,0.7934860700886086,-3.967910926920383,,6.692080696349363,6.809135366154352,0.0,36.2358,0.028438726342457
2022-03-31,0.9469399688826744,,,-0.5943225937119139,1.002922433446719,1.8730448640249064,0.0618926548885507,-0.0047391839784925,0.9054696065294188,0.5754609606191669,2.574676338620403,0.7960986981861968,,-0.8320804074169164,1.04285982023299,-0.2453290300151777,0.0270755550488785,,-1.6301017188722582,0.7150360024444464,,-0.1429757814203112,2.82545771034591,,1.119966971798234,0.7742718763846018,1.5482831889621929,0.843290818658537,4.598517961748054,14.81541278521359,,2.147149562374029,,1084000.0,,0.0598573861369207,,0.8667770059210219,1.0,1.988816054545421,,,0.0357033935028104,,0.8951516361391215,,17.565552174614922,0.456357588889595,1.2669236885856845,,,,1.3995218718601186,0.9469399688826744,0.8685659065473168,,,,,0.0406549743457415,1.004021285550199,-1.81825071749848,7.425084298861648,-1.4978531980166627,0.1110230522724923,-1.2790766756418988,-0.6684787102488107,-7.121152283136213,3.3115392854209724,1.1179333332332182,0.1075378850155055,223.51601423487543,0.1672106452422797,0.8374478126701761,0.1835939046111221,,,-39.71842833425567,-1.6265166758124503,-1.6016856454417403,2.2981574539363483,-0.7842402934882299,-3.4985217606738788,,-2.780877852438294,-1.5781371137446008,1.5134561589659496,-1.746143805891265,0.1123238790690518,,,9.770517351737956,0.0,1.5621913699940535,,2.526698214332401,0.223528753009687,2.4273695608606305,2.289174855459249,0.1819060166886253,,2.4150797809002142,1.31371948653327,0.844797486844816,1.3450448649842737,2.699715991793152,-0.1518420292348494,,,,5.963032316520689,2.426267328852756,-0.744402755756856,0.7523634663412743,-5.977863063273406,,10.508769324993969,11.034560696967208,0.0,39.5452,-0.1074896574046913
2021-12-31,1.0211420855787858,,,-0.45324347671573,1.0567226471607012,2.441266942168938,0.7814905767164746,0.0047049735255809,0.84441466682909,0.3680235084742255,2.0806059414362195,1.0723519081135306,,-0.9059882660380724,3.226627023735724,0.1242152594269772,1.959739362156924,1.9101896921754296,-4.880232969030011,0.7143471487855018,,-0.1443045333277968,2.6517765313860995,,1.2184546186088825,0.8689397071508782,2.206884280274527,0.8827083539516855,4.61547888463141,0.0027743013384462,,1.0444293499021402,,,,3.239692291797298,,0.8083593640729172,1.0,1.4780009824357416,,,-7.696599368331737,,0.9432647724879484,,-0.7300151380855348,0.5345353452092739,1.309161932527433,,,,1.283674734277014,1.0211420855787858,0.9660611265550988,,,,,0.46402697147789,0.8615550185260642,-7.048167324079067,57.30514413203864,-5.900713277190346,0.305382309362186,-9.590481161560543,5.759144588031877,-22.578194879692223,10.233815967833022,3.327687129542962,10.017285658402734,-0.2722419928825623,0.0487070047702736,-70.6503675803231,1.428398970908371,,,21.99955727725512,-10.569564238578325,0.3573238121281854,2.9960915689558907,-0.6039182716804239,1.8358135821840504,,-8.60293726298982,13.526299700963564,1.4131378412269702,0.8480660085218139,10.454168614525203,,,1.32531377842095,,1.8479795237725896,,0.8438704279850454,0.0649532448625343,1.4584045490303996,1.3655940358760477,0.0575318401405357,,1.4507501786139556,1.284281638184788,1.470610924108104,-0.0628320166626342,-0.619561326411649,-0.8075680799332591,,,,0.5734420618141548,1.2046721419049131,-0.1390488199782645,4.985323130609313,0.5704091758113472,,1.728568512091461,1.3138818114572204,0.0,38.5643,-0.0231250145860291
2021-09-30,1.0204721561410943,,,-0.5287619335151571,1.0547748418691003,2.4669548942920128,0.1742267349449447,0.0010963243565436,0.8443903033256183,0.36794073215653,2.0354361498909634,1.0688924670853128,,-0.8112005476845164,10.160022150742074,1.2975072529698477,-0.4239070025935532,,-15.198563820389207,0.7137606390987432,,-0.1454879529954012,2.6394601089893723,,1.2754400307640776,0.4397381601380621,2.2366580499898743,0.7491959464651033,284.5690732767425,0.0016497845292627,,0.0033726578571954,,,,3.432406266032036,,0.808336052962842,1.0,1.431300329134371,,,0.0043480735207733,,0.7802992136855283,,-0.7314040650480794,0.6659844972612995,1.3069073537531846,,,,1.2754595535160898,1.0204721561410943,1.0263289119590864,,,,,0.4830870462030282,0.8511436148721081,1.6152698420392508,1.4889638212103542,1.3899223139048675,-0.4739671272526791,-0.3766436026539528,-0.7630436819794608,3.188489311878435,9.251222814238073,10.343588906363737,-0.1387501488188039,0.0,-0.0061929868608251,4.159114630604465,0.183554324163863,,,-0.3037078029883785,-0.4560885124265406,0.1452508345673407,5.478503629257398,-0.2026648323652298,-1.821119277672255,,1.1023582512806869,-1.4855997341898328,1.7113919166586284,0.5137952079744503,-0.1531756504861263,,,2.4826065176856926,,1.4353008092246438,,1.5627430782504117,-0.0085111148440562,2.2376886331072976,2.106334860946589,-8.78348704435661e-05,,2.226306263396047,1.4632069591014942,2.221849765243671,0.1837623470750975,0.3112612945146997,-1.59471461450316,,,,1.51744689419108,1.5135458367829044,0.0332876752302875,0.7158252460399822,0.5381303992528601,,2.8370854290009464,2.5411564066737897,-1.0,29.0259,0.2978925718065589
2021-06-30,0.9250640173975164,,,-11.910376754699053,0.9528246108019888,2.4277563647116067,0.7381886825703993,0.0140558968990637,0.845389206967962,0.3713345611820458,1.9091417045617325,0.9491378933534714,,-0.9691679720189952,9.175850772519851,1.130962526008532,-0.4184170775500898,,-13.734236098841466,-1.2390450126503054,,-0.1466506109144512,2.6290621396407574,,1.2708102471454823,0.1195133652291264,2.1912247672075207,0.771284588242899,0.5119486270312666,0.0005449960851525,,1.0841178096615258,,,,3.551643639913356,,0.8092918084759196,1.0,1.3007256042255777,,,-0.0043480735207733,,0.8072606618255952,,-0.7327686248709303,0.4815905425853152,1.2268384888245938,,,,1.2685240007237366,0.9250640173975164,1.0207973041635956,,,,,0.4537921013518269,0.9238559997683172,0.6829065706905153,-2.6025707983672643,0.8619076318364232,-0.3558802246648978,-0.8891590653027709,-0.3658395638600663,1.1920632883619455,8.88110613358711,9.347705995512412,0.2561610984811978,-0.1352313167259786,0.000334756046531,6.244350154292976,0.1835939046111221,,,-21.053458771444383,-0.803790106607008,0.5567789570359057,6.362925739810162,0.5284061958626312,-0.3011203787816225,,0.3503831664559909,-0.932559530402038,2.7728368862737534,1.4646464304610285,0.2566853463834924,,,-1.24638911307155,,1.5398536673647198,,0.9650343799837904,0.0002239767064225,1.5863756419881967,1.4867003155220573,0.0067632850241545,,1.5781090735889498,1.4406345264046472,2.20886884781191,-0.4519108380758023,-0.3770832259655095,-1.581113235537579,,,,-0.916017316017316,0.9664035618322676,0.0573293635248645,0.9104220597794478,0.5036189586738268,,-1.0150888068150183,-1.7236582559381934,0.0,31.7253,-0.0736383895502958
