,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.8591472379500543,0.8098577316120409,,1.0724709893375093,0.7943325127570777,1.2106827084217824,,,0.9567198177676538,-1.3333333333333333,1.2293555898514226,,,-0.0035463794365352,0.9969234251012528,2.961232562604605,-0.1319236371085125,0.7605085083565063,0.8609583512985913,-0.078337718688728,,0.8427465410094893,1.374933703736055,1.5203584833069903,1.1900534416344597,1.1614338502302493,,,2.2110465933603507,0.9189842065034388,0.065924513487746,0.6904605207938325,,,,1.7778637933940007,,,,,,,0.8288049574649988,,0.8464374856458851,0.4451766844676741,0.945814184480758,1.433347686228819,0.9825562587884676,,,,0.8064119439030223,0.8591472379500543,0.9969234251012528,,0.8844832386302721,,4.004322269717138,0.0598528573372218,1.1807286807546242,-0.0003182727488179,,-1.2745213314067618,,0.5389535259382598,,4.968925672820528,0.0401183514501231,0.9585174421301832,1.2451920055731678,,0.6308292263630503,3.770771907879902,,,-0.6465216750945063,-4.297648956920286,2.1764396264054024,,1.5279882384928678,,,,,0.6423848490767562,0.6124931612654073,-8.603145288866937,-0.3029383676429061,,,4.065326064996135,-0.5326083239287303,0.7320168158478507,1.208843659942363,1.5032239144305342,0.6337284796382117,-0.8622089406287229,0.255462837957182,0.6337284796382117,,-0.8210445222902162,1.1178983255883177,,2.5238275136272867,1.1683624439006508,,,,,2.7091345208603674,1.112625303616898,0.7306244193437974,0.9876141218863196,17.263095365228533,,4.273388211607285,4.668240065454604,,63.02,0.1853152434158022
2023-06-30,0.8116512289956005,0.8589515001848074,,2.385202098185442,0.735671561191105,1.2132810289052458,,,1.0793124870573618,0.0,1.0416057770166267,,,0.0749564834244969,0.0453597242718995,-0.3004710739153566,-0.1800270508461317,0.4341824290337582,0.8638280103310293,-0.078337718688728,,0.7924128886620837,1.703407214061145,1.500758758318657,0.9092140449465792,1.104565878418822,,,2.193686197949397,0.8670259856316449,0.0065756267175144,0.6615218866928856,,,,1.4893884816312777,,,,,,,0.7028067643688267,,0.8234743651215384,0.928351443316848,0.8752261415308333,0.931847868956858,0.9214053582951738,,,,0.933044471030233,0.8116512289956005,0.0453597242718995,,0.8567590196624997,,3.1731712535815584,0.0093758043984585,1.2469050222180154,-0.9156939199660143,,-1.0564234562002406,,-0.3079856622427127,,0.1649040493086013,0.0024549714407814,0.0380552972302852,1.0724022180097053,,0.6099518436450874,1.069772933232925,,,2.220874858854141,-0.7361798961335013,0.6576485014122657,,1.1999442197350016,,,,,-0.7502732535668422,0.6252373443182184,0.284350147815692,0.0433482661686847,,,1.691248894828446,-0.5636606135221094,0.8155582789093485,1.5501621037463975,1.4839715772411852,0.612997291064992,1.3873792022651683,1.1910177074741852,0.612997291064992,,0.9712720031396718,1.178072559432501,,1.2670588446939033,0.921485679186027,,,,,1.7934541832147115,1.1443754621906548,0.8837514057992274,1.0391927138461188,0.4997463690730457,,1.914619167577826,1.8809117671491176,,63.52,-0.0569899244332494
2023-03-31,0.804691813020215,0.9276205015862672,,1.6935309599161894,0.7364687732102617,1.175278060262052,,1.3303232603815107,1.0793124870573618,0.0,0.95782031622288,,,0.0359798056594408,-0.0035818249541474,-0.468229500333249,0.6426247252587568,0.4597454611026222,0.8685335656886161,-0.078337718688728,,0.7941540438141217,1.7836081381268742,1.4972199300166793,0.766239936959497,1.032431756571614,,,2.04076665335348,0.8687095706701685,-0.1815938534013796,0.9039518160034538,,,,0.9186836450960566,,,,,,,0.4331960975728067,,0.8306224540179045,0.9440314796763526,0.8775133825297581,0.7031809152322818,0.8167747000574922,,,,0.9309386039693642,0.804691813020215,-0.0035818249541474,,0.8614318416707765,,-0.1652179555449733,0.0,1.3517546794942863,-1.3321285412111985,,-0.3561130268088952,,-1.0764083834322762,,-1.958291684273412,0.3507656554757853,0.0,1.334877751549141,,0.5956155523537431,0.2922447572976629,,,-0.7606657175119054,-1.5872149490700975,0.6220928374033834,,1.7633809567857113,,,,,1.4387808111578886,0.7879831364850514,2.041359761204286,-0.6145497941709438,,,1.432065081398086,-0.453678054786088,0.7743770328198605,0.9069704610951008,1.2546714064351472,0.5987613898403743,1.2825750236715214,1.139088684818018,0.5987613898403743,,0.8877712690960362,1.16632635018941,-0.4382319871550883,0.9017576051954592,0.8654309123512686,,,,,1.527296082209377,1.0863784384202717,0.7051195540560364,1.0399469740822662,-0.4447218069201196,,1.6772791422419815,1.6042135831957367,,56.23,0.0652676507202561
2022-12-31,0.8059044143308226,1.00817419781358,,0.4901223211450223,0.7354614311405157,1.18555995300403,,1.3403478430826727,1.0793124870573618,0.0,0.884801404011886,,,-0.0359888528205143,0.3797224802327281,0.8456342431367174,0.5962968593109008,0.3507787068057361,0.8566122616163998,-0.078337718688728,,0.804202366632498,1.918385802294693,1.4890246144635078,0.836419489820704,0.9785566258842184,,,2.0832884129657403,0.8729048187754449,-0.2277914867365823,0.7008683053690481,,,,1.232415950455005,,,,,,,0.6794746639340783,,0.8247032953791222,0.966038548251096,0.8910399526607709,0.4259915257610351,0.82156244809291,,,,0.9302163578598592,0.8059044143308226,0.3797224802327281,,0.8477047494478633,,0.2432740710471744,0.0128031553231686,1.3614642604652096,-0.2059484220569845,,-0.9910929647518004,,-1.114709960706438,,1.9007455546003391,-0.0024549714407814,0.351935131848187,1.623515097401283,,0.5482637995962898,2.94797928871984,,,-2.454710589621484e-05,0.4172720194569082,-0.4128525326224218,,0.647750429564101,,,,,-3.688461842165415,0.683616001029833,7.258487770309447,2.175782696736676,,,1.3987162401368651,-0.3762525221435655,0.5438158323379303,0.2231628242074927,0.9816195265779744,0.5517412183491168,1.0562661572956633,1.0180207992553922,0.5517412183491168,,0.7074639882553019,1.14367089860617,4.865382175497543,-1.463363736125353,0.7746713296412614,,,,,-0.1959288532368631,1.0188487798166714,0.3385849102733362,1.0430024396049242,0.9709926313541222,,1.9174822143335373,1.8905296793156847,,56.74,-0.0008713837574068
2022-09-30,0.8083069706991713,1.102340896602311,,-0.5466798807085939,0.7575778018837545,1.107142104547599,-0.3796347845451508,1.2763775410652196,1.0793124870573618,0.0,0.8008992423318111,1.1578061231895054,,12.628070400483894,0.0035818249541474,-0.443674441185578,0.6366996876896522,0.2853455066576822,0.9143745609976176,-0.078337718688728,,0.8381013433315707,1.911804131862912,-0.2477232232639928,0.7244331435595597,0.907714081250981,2.2320572558975056,,2.3998160359660856,0.9129904068605388,-0.4087964780438562,1.1389094897215597,,,,0.8864541203235592,,,,,,,0.7422918574122469,,0.8388936067599931,0.8310778081438114,0.9376712846753498,0.1922588442180144,0.8417607588677603,,,,0.9271232300865766,0.8083069706991713,0.0035818249541474,,0.8599737718978493,,-0.293198967588876,0.0238752814035605,1.3614642604652096,-0.7394527757686526,-1.3126255064969572,-0.0438961838916361,-0.4355043256614055,-0.7490571729925443,0.3623553577541937,-0.6085415786329395,0.1004857142100323,-0.0049610347158235,0.9470984715040188,,0.5122441143211434,-0.727972991946086,,,-0.2740438902253424,0.3927221209956414,-0.0759927038024414,0.4386944696282865,0.9818700123613552,,,,,-1.6181182699620562,0.7231036591252856,1.370126198094502,0.2543397222407483,,,1.4051331859153415,-0.2101843302212646,0.6619611249864263,0.920479106628242,1.1298641081428114,0.5159737613898404,1.2251540245235135,1.0694813702135373,0.5159737613898404,,0.8420221811997616,0.9685208965239932,1.2766993476919846,0.8554518142731214,0.5842951544032416,,,,,1.4935577313777149,0.913305931518393,0.6017505256466676,0.8412933286037896,-0.2185364160615121,,1.7006728930547996,1.639949611790022,,42.33,0.3543586109142452
2022-06-30,0.8064940440354961,1.167405849291903,,-0.2943464342163379,0.7739395847185978,1.031087247296022,-0.2020933080948669,1.216803235400669,1.0793124870573618,0.0,0.7262906839865277,1.1117104492881174,,12.546754516754778,0.1020035550442494,-0.1063113044164068,0.6199022638390151,0.3291163267436673,0.9360168920528186,-0.078337718688728,,0.8641490950752866,1.9056403633920165,-0.2481406727698284,0.8249519206614417,0.8239411328103177,1.8520760853605944,,2.491082306216327,0.9372594693808812,-0.2618193034602658,1.1702154859053715,,,,0.1233411274014155,,,,,,,0.0589911655742376,,0.8265322913110111,1.326882710696751,0.9706421139069245,-0.0311542260834325,0.8626935362222619,,,,0.924066810940348,0.8064940440354961,0.1020035550442494,,0.8461064305165427,,0.1213431640837619,0.0257190480933724,1.360255942099716,0.1184630294784766,-0.4864312467106439,0.4080469860860855,-0.8118357053202171,-1.6677446480941485,0.3639301609038001,0.1761529382622506,0.0607774076229141,0.0990508300865237,1.0395538381645557,,0.51170865229139,-0.5269782718759706,,,0.0426383229417251,0.4050632911392405,-0.5401587350003966,1.0105802357207616,0.2836902989990386,,,,,-0.0577759861025106,0.7884658706915972,2.5050357549337514,1.838293995694689,,,1.0210654502519885,-0.1204473171232174,0.6848579805469804,0.7805295389048992,0.7173536556851462,0.5154420489399333,0.8827078396065146,0.9250415846876195,0.5154420489399333,,0.5691847028213439,1.023631002728676,1.3168834464263055,0.3422742727616169,0.7215887137521424,,,,,1.119657111399473,0.8492896806167735,0.5930076768862158,0.8993713667871467,-0.4788952370781717,,1.3123081146952715,1.1841798317434344,,40.94,0.1113825109916952
2022-03-31,0.8196309813060602,1.2214924651953918,,0.0286638851473438,0.8032820808742344,0.976704932990166,-0.0285046208662732,1.1678523682278703,1.0793124870573618,0.0,0.6696044600123011,1.0407944338959163,,12.585481320547323,0.0693341128655825,-0.2182933380567861,0.5846340940237794,0.1686011749409207,0.9816193948602584,-0.078337718688728,,0.9056487154279989,1.900221625056305,-0.2484255736355276,0.8802734374262189,0.8190874095829442,1.5702458658906908,,2.594888667312776,0.9786334215362728,-0.2828641130615221,1.2199300896455456,,,,-0.1780259942703067,,,,,,,-0.126580282919908,,0.8351918081051004,1.3456844018921297,1.0268508574464537,-0.0413508125065583,0.9008934757151392,,,,0.9232445067165944,0.8196309813060602,0.0693341128655825,,0.8517161223920922,,0.4390450036224481,0.0507220767215188,1.3286666720700449,-0.4694823560106081,-0.9956721016621788,0.0983220694141418,-1.114895686987951,-2.3395404424325843,0.0,-2.251330098549204,0.4623593119652044,0.0589293272020435,1.2934799412612183,,0.662962584590671,-0.6768095779034297,,6.414565274494352,0.8981786047425009,0.4095020990022716,-0.4928901117001482,23.5710063463282,0.80761694935208,,,,,-0.7485610030795573,0.808579795964342,42.91552673209211,1.2446690913012568,,,-8.75719218771142,-0.0401491057077391,0.7105471355661387,0.002521613832853,1.1507928015756956,0.665636823605794,11.216790999166252,5.357462435549494,0.665636823605794,,8.802668721019812,1.0808232859757525,1.2328446491930367,-11.471675031931929,0.4066794138918335,-2.1039276661353123,,,,-7.487973994992988,1.0097916133450815,0.4483301550046452,0.9695104530862586,-146.51488413071337,,-7.709344880569912,-9.469972473107513,,50.28,-0.0544948289578361
2021-12-31,0.9440308698659604,1.4222387662576332,,0.6284317268416615,0.8884351324030546,1.2502021959858602,-0.2402850462086627,1.487662419068095,1.0793124870573618,0.0,1.0097136500839434,1.2455370344225074,,-0.046947334375157,0.4790351402450811,1.186051247308311,0.8303609322140141,0.2631160610058177,1.0150663519814345,-0.0183994406445744,,0.9602676992394246,1.891398584271472,1.5722540465332782,1.0472957142808574,0.8144199075810661,2.310683969797953,,2.4821499958570854,1.032895088837611,-0.3299169984857832,1.3732215192352473,,,,-0.7430748651836873,,,,,0.4499589983653653,,-0.3530374780958387,,0.9540351705973812,1.425077293848187,1.1005682564977488,0.1878878447860996,0.9670932341504888,,,,0.92040570622442,0.9440308698659604,0.4790351402450811,,0.9651659240517186,,0.0,0.1836469404436065,-0.0012719527914574,-31.05609044956368,3.883734357994349,-16.31714960480338,20.3162404252044,40.31968308554636,7.063649435124957,1.4352241763685905,0.193765446215164,0.4646900084860743,1.9071637333900828,,0.44152085307556,-46.78850923881365,,-8.76608878381928,3.4676223673228925,0.3884318085132,23.744321715948537,-0.8310154125113327,0.6912590362627783,,,,,17.503763210719022,0.9575193898239628,2.174372409646316,2.609696740933517,,,0.0375823202207933,-0.2505386272699292,1.210120534259963,-0.2099243515850144,0.3109105824446267,0.4457457407034276,0.853645231853202,0.8745563148056847,0.4457457407034276,,0.8350015262293414,0.9250204633629002,1.183687487148526,-0.7383381006350406,0.27064406510992,-1.81030653043092,,,,0.3323240664281127,0.6579096185226287,0.8745978191775463,0.7760996278152674,-3.52059750106792,,0.3487175535015004,0.0416101013112541,,65.42,-0.0611433812289819
2021-09-30,0.0008047405851768,-0.0225113301788997,,0.355948691554329,-0.029748314388805,0.2923705285163997,1.0266674089745018,0.7436058160084682,0.0,-11.73873873873874,0.9948194234271254,0.3419719838724078,,7.674701245777924,0.1640337021966778,0.1063113044164068,0.1319236371085125,-0.2918062581263583,0.0240326803804061,-0.0645297652496097,,0.0012447248629295,0.0062237134243012,-0.2504337012757122,0.1651339327369014,0.0386635168676525,0.7552020530573995,,0.7108310686951121,0.0808622563040742,,0.094210680590773,,,,-0.9814996208291203,,,,,0.3739131851481761,,2.5445207763623023,,0.0132693235199464,-0.1728750919452933,-0.1928196491127154,-1.813617400051381,0.0029444240559237,,,,-0.0981680846212846,0.0008047405851768,0.1640337021966778,,0.0664754593991894,,-0.5410527139939113,-1.0332206442062912,-0.0012719527914574,0.1578386958193576,-1.1211147276285467,0.4287897715170599,-0.4078822233290409,-1.22641282272621,-3.1026360835330364,-0.2709855406120833,0.2353420881384545,0.193301211388897,0.4472575010881479,,-0.0163640014513839,0.1448513238115903,,,1.5577838872796896,0.2191350344750086,-0.5251290560696921,1.235222121486854,-0.237751466684606,,,,,-4.272372505911836,0.6305152383097866,1.8219339875877767,1.8041608545914567,,,1.5543466374054928,-0.9921001333743716,0.1935373780308083,-0.3831051873198847,0.0059801928404132,-0.0089327691584391,0.7862229008970549,0.5966323698587426,-0.0089327691584391,,0.053926770062648,0.3729732054535288,0.8234699636439999,0.7771961070034361,-0.5405946283325243,0.7166226775028092,,,,1.4365407049139505,0.2227093805861209,-0.124316659332062,0.2733766416278359,8.093723302007689,,1.6994436710964256,1.612479616558012,,57.81,0.0726517903476906
2021-06-30,0.0100675999204586,-0.0127713575853511,,-0.2784202284350121,-0.0017627963595656,0.2251355273795097,6.125876851130164,0.7776833428261848,0.0,-11.73873873873874,0.921117632667313,0.3775581279595804,,7.766211772176759,0.2331988325875913,0.3433907107869914,0.1794102684912183,-0.2220097373940607,0.0447972031639842,-0.078337718688728,,0.0248272142651219,0.0,-0.2503707642848256,0.2759111464358204,-0.011376786726151,0.4832615083490946,,1.044991681585815,0.1043397007600967,,0.2855899530874921,,,,-1.147292087967644,,-0.061,,,0.3737909948462846,,0.3291354147086822,,0.0119652602474018,-0.1526142364205024,-0.160924275679792,-1.1611733672978322,0.0289696443139259,,,,-0.1015381534290504,0.0100675999204586,0.2331988325875913,1.130220398128321,0.0778279563436756,,-1.4545906955368544,-1.0295961891263865,0.0049686956254926,0.0003182727488179,0.4603616630984073,0.3458092751754351,-0.3045230285721992,-1.02233174030084,-1.6239780896953098,-0.3612525317285696,0.2933282945965729,0.2353104911146019,0.4215660308181985,,-0.0197571397872947,-0.1223233393322867,,,1.568314595709166,0.3647728823354711,-0.5949265804869419,0.3643064369900272,-0.1013785293631239,,,,,0.1023609939364721,0.7621407652946288,0.7810108732220957,1.4807261416382034,,,0.7661262370043873,9.277042508806128,0.2344290523245893,-0.1222082132564841,0.0751982499316379,-0.0123021469989029,0.7426016233464142,0.5764213669266958,-0.0123021469989029,,0.0905330174280855,0.3932283506495368,0.848293542981892,0.0,-0.4630214886513369,8.18791648156375,,,,0.8702764342731312,0.2504554885740906,-0.0289863576353234,0.2875524646698457,2.0808548697137974,,0.9627967689573288,0.7741782044819107,,51.21,0.2108963093145869
