,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2023-09-30,0.9933969185619956,8.53755868544601,,0.44368388301182327,1.4735786791428214,-0.09660405292865736,,0.9485082872928177,0.3333333333333333,0.0,-0.8212281545614879,,-2.8187311178247736,,0.5659323611542042,,1.46256168204248,-0.6617993405558172,1.8313593777620647,1.7635421573245407,2.516396272005523,2.161240527645243,-0.5825311942959002,,0.507873389533959,0.08866995073891626,,-0.1572938689217759,0.13010882708585247,2.1439200186003253,1.1007751937984496,0.5271359484148307,,,,0.7562582345191041,,,,,,,0.822202166064982,,1.1664017985193225,,,-3.4549763033175354,1.2537444933920705,,,,,0.9933969185619956,0.44273605361718904,,1.1986735299940605,,-2.4200341491178143,2.33595166163142,0.15538996522088458,-0.9748045178105995,,,,1.802730627306273,,0.8731898238747554,0.5320593412119689,0.8582914572864322,1.4366812227074235,-0.18181818181818182,0.32608695652173914,,0.5,-0.25,-0.03076923076923077,,14.915057113187954,,4.0625,,,,,0.44029850746268656,0.8620102214650767,0.0,-2.2202655485674354,,,0.8757961783439491,-0.15384615384615385,0.3157894736842105,,0.4658266513936617,0.32608695652173914,0.739872240640414,0.5755475464374826,0.1282839820753888,,2.251277166854273,0.2865407520843968,-0.007222172068249526,0.36989247311827955,1.9712230215827338,-0.06976744186046512,,,,0.5196770938446014,0.28867391490454586,0.09166666666666666,0.29877875603521725,-1.3855234544889716,,0.8154681139755766,,
2023-06-30,0.5251989389920424,8.5,,0.4150591163658992,1.2800868875057438,-1.688905339132044,,-2.4446408839779004,0.3333333333333333,0.0,-0.969376302709636,,-2.8187311178247736,0.0,-34.56655290102389,,-0.23406994207251663,0.5129533678756477,8.303576689647045,0.9957607159679699,1.3910942354159475,1.9232388436710637,-2.443018419489008,,-9.25862891681247,-0.08866995073891626,,0.1386892177589852,0.11559854897218863,2.128574750058126,1.0077519379844961,0.4648038688876948,,,,0.6380575945793338,,,,,,,-0.09386281588447654,,0.9270126749098803,,,-0.10900473933649289,1.2610132158590308,,,,,0.5251989389920424,-22.30199093238715,,0.9100178182538111,,-1.1918042117245304,1.8787512588116817,0.024374896505236797,-1.2099623515783378,,,,2.248487084870849,,5.306327462491846,0.5994468192104602,2.6331658291457285,0.21397379912663755,-0.18181818181818182,0.13043478260869565,,0.5,2.2045454545454546,1.6717948717948719,,13.362409138110072,,3.9055232558139537,,,,,0.13805970149253732,0.06132879045996593,1.4035087719298245,-3.6346610761705103,,,0.589171974522293,0.1258741258741259,0.7017543859649122,,-0.17563955708285606,0.13043478260869565,0.03800436645912509,0.08428056556695315,0.09665231526227924,,0.1593211533466101,0.30287561681129826,-0.06499954861424573,-0.5849462365591398,1.5971223021582734,0.06976744186046512,,,,-0.6004036326942482,0.1493022857632052,0.275,0.3061630218687873,-1.2736874805840324,,-0.025780189959294438,,
2023-03-31,0.5640273153112478,6.528169014084507,,0.5071561916614811,0.9704666026149797,-0.2509484593319145,,0.8976795580110497,0.3333333333333333,0.0,-0.944364277697611,,-2.8187311178247736,,0.16382252559726962,,0.5859257670027891,,1.304342702256791,0.32878002826189356,0.41353123921297896,1.4427448779118721,-0.5316696375519905,,0.6115794496580245,-0.5320197044334976,,0.3230443974630021,0.25973397823458283,1.6617065798651476,1.3565891472868217,0.38097796883396023,,,,0.5063052889139845,,,,,,,0.6868231046931408,,0.5260669018179,,,-0.08056872037914692,1.0405286343612334,,,,,0.5640273153112478,0.41119653065247386,,0.5409819837655909,,0.27660785429709733,1.1367573011077543,0.15538996522088458,-0.6284390385172314,,,,1.5149077490774907,,-0.0009132420091324201,0.6095046517475484,0.5989949748743718,0.35152838427947597,0.9090909090909091,0.043478260869565216,,0.5,4.613636363636363,-0.2153846153846154,,3.08785046728972,,3.050872093023256,,,,,0.041044776119402986,,0.8070175438596491,-2.6367575122292104,,,0.4012738853503185,0.0,0.0,,-0.029018709431080564,0.043478260869565216,0.19002183229562544,0.18408649847518713,0.08259379667867499,,0.32210581002684213,0.3682150757189042,0.007222172068249526,0.05161290322580645,1.3669064748201438,-1.2325581395348837,,,,0.14631685166498487,0.22189881003338754,-0.058333333333333334,0.3720533939221812,-2.2242932587760174,,0.5386702849389416,,
2022-12-31,0.4518313674586602,6.429577464788732,,0.5196017423771002,0.7975270479134466,-0.22318867400758768,,0.8839779005524862,0.3333333333333333,0.0,-1.0412057078723744,,-2.8187311178247736,,0.08067018305926156,,0.46363441321604804,,1.0059513287372577,-0.12246820536975978,-0.24784259578874698,1.0686219477968004,-0.4727272727272727,,0.6115794496580245,0.37438423645320196,,0.16744186046511628,0.20169286577992745,1.2645896303185307,2.0968992248062017,0.6227834497581946,,,,0.5830980613589309,,,,,,,0.7066787003610109,,0.37195240125586265,,,0.27014218009478674,0.8753303964757709,,,,,0.4518313674586602,0.28582692686773115,,0.3085527618293407,,0.6010244735344337,0.6300100704934541,0.024036356614537627,-1.076744859542427,,,,1.336309963099631,,0.1634703196347032,0.5561981393009806,0.6090452261306533,1.314410480349345,-0.18181818181818182,-0.391304347826087,,0.421875,-1.0,-0.841025641025641,,3.6785046728971964,,3.890988372093023,,,,,1.1902985074626866,,10.021052631578947,-2.2118798043326344,,,-3.2770700636942673,0.8461538461538461,0.10526315789473684,,-0.07636502481863307,-0.391304347826087,-0.10592706396054015,-0.04103132797338509,0.01230120376065372,,0.005195255000432938,0.2559128807214565,-0.08666606481899432,0.11182795698924732,1.2517985611510791,-0.20930232558139536,,,,0.21695257315842584,0.1606026881260166,-0.3416666666666667,0.28798636750923035,-8.263435849642747,,-2.649932157394844,,
2022-09-30,0.38546193351769287,5.42018779342723,,0.23335407591785937,0.5393709010401437,0.13657814379568797,,0.3641988950276243,0.3333333333333333,0.0,-0.4620811287477954,,-0.3504531722054381,,0.30282345640707414,,0.2108989487234499,-0.6095148374941121,0.6590065405692063,0.11210551106924165,0.09596133931653435,0.7057255122088127,-0.41568627450980394,,0.6068076984253221,1.206896551724138,,0.06765327695560254,0.19008464328899638,0.5475470820739363,1.875968992248062,0.5776464266523375,,,,0.5447016751364577,,,,,,,0.740072202166065,,0.2831117485173844,,,0.26066350710900477,0.6647577092511013,,,,,0.38546193351769287,0.3804454957618766,,0.02306473965551376,,1.2544109277177007,0.5007049345417925,0.15234310315772998,-0.18592528236316247,,,,1.4012546125461254,,1.0245270711024135,0.1709831531305004,0.5557788944723618,0.6986899563318777,-0.18181818181818182,-0.10869565217391304,,0.40625,-2.772727272727273,-1.087179487179487,,1.3109034267912774,,1.6002906976744187,,,,,-0.4216417910447761,,0.6596491228070176,-0.7974842767295598,,,1.5222929936305734,0.09090909090909091,-0.14035087719298245,,0.4261168384879725,-0.10869565217391304,0.6444570227217595,0.48794011644025503,0.05799138915736754,,0.8087280284007273,0.4267483409903012,-0.18777647377448767,0.6795698924731183,0.7050359712230215,0.20930232558139536,,,,0.8829465186680121,0.3547641469052307,-0.125,0.4231752343084351,-1.7831624728176452,,1.2360922659430122,,
2022-06-30,0.19301314972628253,5.514084507042254,,0.1910392034847542,0.3560716821922386,-0.016655871194596095,,0.31116022099447516,0.3333333333333333,0.0,-0.7320827320827321,,-0.3504531722054381,,-0.2904126590133416,,0.24822999356361297,-0.6024493641073952,0.5762771787166343,0.2958078191238813,0.3652053848809113,0.4730564131349986,-0.3653000594177065,,0.3825353904883092,1.0935960591133005,,-0.06088794926004228,0.08174123337363966,0.07137874912810974,1.3837209302325582,0.5744223535733477,,,,0.4701675136457745,,,,,,,0.5884476534296029,,0.12806697934028452,,,-0.2132701421800948,0.4039647577092511,,,,,0.19301314972628253,-0.056376897299428345,,-0.14403088497327263,,0.3528742174160501,0.0,0.021328034442082196,-0.403706921517521,,,,1.6477490774907748,,0.2574037834311807,0.08146844355041488,0.1708542713567839,-0.1222707423580786,-0.18181818181818182,-0.15217391304347827,,0.421875,-3.8863636363636362,-1.476923076923077,,2.629283489096573,,1.1380813953488371,,,,,-1.123134328358209,,3.992982456140351,-1.4040531097134872,,,-0.9522292993630573,-0.03496503496503497,-0.3157894736842105,,-0.07636502481863307,-0.15217391304347827,0.10430985687717312,0.11533130024951484,0.05096212986556541,,0.23032297168586024,0.2872213714480177,-0.17694321567211338,-0.7311827956989247,0.5611510791366906,-0.16279069767441862,,,,-0.7719475277497477,0.16676654396027737,0.125,0.2982107355864811,-4.535570052811432,,-0.34328358208955223,,
2022-03-31,0.032507477848637056,5.227699530516432,,-0.006845052893590542,0.14169347090521742,0.0014805218839640973,,0.5339226519337017,0.3333333333333333,0.0,-0.6172839506172839,,-0.3413897280966767,,-0.31399317406143346,,0.14696417077880283,,0.31583289140298154,0.3447951012717852,0.4370037970314118,0.1575919169239405,-0.3752822341057635,,0.1340862096389375,1.0098522167487685,,-0.3230443974630021,-0.06529625151148731,-0.4754708207393629,0.6744186046511628,0.1477700161203654,,,,0.3881046489742142,,,,,,,0.3574007220216607,,0.028683282297763478,,,1.2843601895734598,0.17334801762114538,,,,,0.032507477848637056,-0.1935738221959393,,-0.2034250643436943,,-0.2675014228799089,-0.43303121852970794,0.15234310315772998,-0.08282652765710977,,,,1.2226568265682656,,0.22870189171559036,0.0030173497611264773,0.0814070351758794,-0.015283842794759825,21.636363636363637,-0.021739130434782608,,0.40625,-0.7272727272727273,-0.36923076923076925,,1.8051921079958464,,0.7688953488372093,,,,,-0.6940298507462687,,1.1298245614035087,-0.9120894479385045,,,0.3980891719745223,-0.1258741258741259,-0.10526315789473684,,-0.1267659411989309,-0.021739130434782608,0.01212905312525269,0.05877460493484891,0.0720499077409718,,0.13161312667763442,0.14633316317849243,-0.2527760223887334,-0.05161290322580645,-0.014388489208633094,-0.11627906976744186,,,,0.025227043390514632,0.0893759095967811,-0.10833333333333334,0.1885827889804033,-1.5470643056849953,,0.4898236092265943,,
2021-12-31,-0.1576838422032846,4.593896713615023,,-0.2719352831362788,-0.11529303646768871,-0.08957157397982789,,0.49679558011049724,0.3333333333333333,-13000000.0,-0.6910373577040244,,-0.3564954682779456,,-0.45423518461061124,,-0.2911392405063291,-0.748469147432878,-0.023569618761416535,-0.490814884597268,-0.7877114256127028,-0.2782767330900926,-0.2787878787878788,,-0.11595355495466836,1.0049261083743843,,-0.6748414376321353,-0.16686819830713423,-0.7851662404092071,0.3488372093023256,0.0026867275658248252,,,,0.1464332768680595,,,,,,,0.14530685920577618,,-0.11070196519244932,,,2.071090047393365,0.05947136563876652,,,,,-0.1576838422032846,-0.4466784939877784,,-0.3117204513957632,,0.0,-1.152467270896274,0.0182811723789276,-0.2797567332754127,,,,0.4226568265682657,,-1.2533594259621657,0.4958511440784511,0.003015075376884422,0.12882096069868995,0.5454545454545454,-0.21739130434782608,,0.328125,-0.25,-0.11282051282051282,,1.804361370716511,,0.23401162790697674,,,,,-0.5447761194029851,6.913117546848381,-0.8350877192982457,-0.213277428371768,,,-5.312101910828026,5.146853146853147,-0.6666666666666666,,-0.08247422680412371,-0.21739130434782608,0.28543705021427995,0.23620737454948712,0.040418240927862226,,-1.8529742834877478,0.059894503998638764,-0.3105533989347296,-2.356989247311828,0.302158273381295,1.1395348837209303,,,,-2.679112008072654,0.061296121907370944,-0.375,0.12553251917069014,-11.56259707983846,,-3.5834464043419265,,
2021-09-30,0.07562503527287093,2.143192488262911,,-0.28189172370877413,0.030076444295918794,0.16359766817803276,,0.4693922651933702,0.3333333333333333,205000000.0,-0.2857142857142857,,-0.5589123867069486,,0.12659013341607198,,-0.3228920832439391,-0.7489401789919925,0.17535796358493902,-0.371172868582195,-0.6123576113220573,0.08995228739825989,-0.2887700534759358,,-0.009702560839828216,-0.46798029556650245,,-0.7797040169133193,-0.18428053204353084,-0.2341315973029528,0.2441860465116279,-0.14562063406770553,,,,0.037267080745341616,,,,,,,-0.004512635379061372,,0.15799061979146478,,,0.7061611374407583,0.2674008810572687,,,,,0.07562503527287093,-0.12655233589591958,,0.2588596317560879,,0.46442800227660785,-0.4362537764350453,0.15234310315772998,0.5774688676513177,,,,-0.22236162361623615,,-0.11050228310502283,0.54815187327131,0.49547738693467336,0.6790393013100436,0.18181818181818182,-0.30434782608695654,,0.34375,-1.4772727272727273,0.441025641025641,5.85,-0.3073727933541018,,0.09738372093023256,,,,,-0.13059701492537312,-0.43270868824531517,0.29473684210526313,0.6225017470300489,,,1.4235668789808917,-0.7272727272727273,-0.5614035087719298,,0.22451317296678122,-0.30434782608695654,0.40834478855017387,0.3160521208760743,0.026359722344257975,,0.1350766300112564,0.10617662072485962,-0.3105533989347296,0.5161290322580645,-0.12949640287769784,0.4418604651162791,,,,0.6912209889001009,0.15238421368033558,-0.325,0.16245384833854018,0.4411307859583722,,1.3419267299864315,,
2021-06-30,0.04142445961961736,2.011737089201878,,-0.3080273802115744,0.04077029115668992,0.08327935597298047,,0.39867403314917127,0.3333333333333333,205000000.0,-0.5056918390251723,,-0.5589123867069486,,-0.11914365497983245,,-0.4606307659300579,-0.7230334432406971,0.22155441635731543,-0.5115402731983043,-0.8180876769071453,0.0893909626719057,-0.2374331550802139,,-0.0606012406553205,-0.4088669950738916,,-0.5902748414376321,-0.2094316807738815,-0.1657754010695187,-0.26744186046511625,-0.21762493283181086,,,,0.050818746470920384,,0.0,,,,,0.07942238267148015,,0.1358192177991395,,,1.132701421800948,0.35220264317180616,,,,,0.04142445961961736,-0.19436231027005715,-0.04968814968814969,0.21807562858839832,,0.6476949345475241,-0.5244712990936556,0.030468620631545998,0.37474659716188824,,,,-0.4437638376383764,,-1.4881930854533594,1.131506160422429,0.5477386934673367,-0.24672489082969432,54.0,-0.17391304347826086,,0.328125,0.11363636363636363,0.0,0.52,0.22346832814122533,,0.19040697674418605,,,,,-2.1977611940298507,2.4906303236797274,-0.2807017543859649,-0.6521313766596786,,,-0.856687898089172,1.0,-0.3508771929824561,,0.17563955708285606,-0.17391304347826086,0.6379881943882915,0.48017743276961466,0.04744750021966435,,0.36539960169711666,-0.09664794963416709,-0.32860882910535344,-1.075268817204301,-0.07194244604316546,0.7674418604651163,,,,-1.1755802219979818,0.0373255714408013,-0.225,-0.010224368077250781,-3.8148493320907115,,-0.19402985074626866,,
2021-03-31,0.09515209661944805,1.528169014084507,,-0.48226509023024267,0.07502401938259744,0.1247339687239752,,0.6108287292817679,0.3333333333333333,,-0.523649190315857,,-0.4501510574018127,,0.7161030096183679,,-0.16713151684187944,-0.6476683937823834,0.03346885864121148,-0.3608101742816769,-0.5971694856748361,0.054308167274768455,-0.2231729055258467,,0.16430730077938605,-0.4482758620689655,,-0.7509513742071882,-0.24038694074969771,-0.2983027202976052,-0.26356589147286824,-0.34228909188608275,,,,0.13363448146056842,,,,,,,0.07310469314079422,,0.10000387611922942,,,-0.2796208530805687,0.24669603524229075,,,,,0.09515209661944805,0.2613837965700769,,0.20144525836468027,,0.6738759248719408,-0.5297079556898288,0.015234310315772999,0.8045178105994787,,,,1.4809594095940959,,2.057795172863666,0.3480010057832537,1.1306532663316582,-0.4606986899563319,,0.08695652173913043,,0.328125,0.5909090909090909,-0.38974358974358975,11.6,-0.15950155763239876,,-0.20203488372093023,,,,,-2.1791044776119404,1.3151618398637137,0.18947368421052632,-0.5487071977638015,,,-0.4140127388535032,-0.5664335664335665,-0.3157894736842105,,0.07789232531500573,0.08695652173913043,0.2256003881297,0.21070141391738287,0.08962305597047711,,0.25283574335440295,-0.09664794963416709,-0.4983298727092173,-0.4989247311827957,-0.2158273381294964,2.7209302325581395,,,,-0.49949545913218973,0.015067203150415204,-0.20833333333333334,-0.010792388525986936,-2.8083255669462566,,-0.052917232021709636,,
2020-12-31,0.027428184434787516,1.6690140845070423,,-0.48475420037336653,0.13317181168804043,-0.1502729712223559,,0.5900552486187846,0.3333333333333333,,-0.4287317620650954,,-0.7069486404833837,,-0.27303754266211605,,-0.020810984767217336,-0.5821950070654733,0.22061163160685876,-0.43146490814884597,-0.700724887814981,0.05346618018523716,-0.0748663101604278,,-0.09750278352155241,-0.2019704433497537,,-0.5006342494714587,-0.28101571946795645,-0.2648221343873518,-0.2054263565891473,0.005910800644814616,,,,0.013175230566534914,,0.0,,,,,-0.06498194945848375,,0.1345788596457227,,,0.9620853080568721,0.24823788546255507,,,,,0.027428184434787516,-0.2503449635324266,0.0010395010395010396,0.26638289447634134,,-0.6511098463289698,-0.41007049345417923,0.024374896505236797,0.7442803359397625,,,,-1.0695940959409593,,-1.4203522504892367,0.9052049283379432,0.34773869346733666,0.44541484716157204,,-0.13043478260869565,,0.25,0.1590909090909091,1.323076923076923,0.53,-0.061474558670820356,,0.06831395348837209,,,,,-0.376865671641791,-0.626916524701874,0.14736842105263157,0.35136268343815513,,,1.4012738853503184,-0.3146853146853147,-0.3157894736842105,,0.44749904543718977,-0.13043478260869565,0.612112881054419,0.4646520654283338,0.05447675951146648,,0.67191964672266,-0.3124042879019908,-0.11194366705786765,0.8172043010752689,-0.15827338129496402,-2.1627906976744184,,,,1.0443995963673058,-0.010615529492337985,-0.20833333333333334,-0.1908548707753479,-0.11804908356632494,,1.1139755766621438,,
2020-09-30,-0.010497206388622383,0.6690140845070423,,-0.4586185438705663,0.18513722377710012,-0.3834551679467012,,0.5387845303867403,0.3333333333333333,,-0.6326759660092993,,-0.7129909365558912,,0.24325162891715793,,0.1572623900450547,-0.5007065473386717,0.4678569324141182,-0.044276966556759306,-0.13324128408698654,0.46463654223968565,-0.11336898395721925,,0.05233020518530301,-0.43842364532019706,,-0.41775898520084565,-0.1804111245465538,0.22529644268774704,-0.15503875968992248,-0.051047823750671684,,,,-0.16073781291172595,,,,,,,-0.11281588447653429,,0.009457730919803092,,,-0.1943127962085308,0.22533039647577094,,,,,-0.010497206388622383,0.11630199093238715,,0.15967135220748366,,-0.5873648264086511,-0.07371601208459215,0.015234310315772999,0.6794092093831451,,,,-0.7242066420664207,,0.7401174168297456,0.6296203168217249,0.9045226130653267,1.7532751091703056,,-0.15217391304347827,,0.265625,0.9772727272727273,0.31794871794871793,,2.125025960539979,,-0.25726744186046513,,,,,2.466417910447761,3.0221465076660987,1.2280701754385965,2.338784067085954,,,-2.0859872611464967,1.3006993006993006,-0.49122807017543857,,0.21840397098129058,-0.15217391304347827,0.38893830354976955,0.31050734682561687,0.05096212986556541,,0.42081565503506796,-0.22392377063127447,-0.137221269296741,-1.832258064516129,-0.33093525179856115,-2.116279069767442,,,,-2.063572149344097,-0.01575207602088862,-0.2916666666666667,-0.11417211019596706,-6.026716371543958,,-1.2795115332428766,,
2020-06-30,0.02325187651673345,0.44366197183098594,,-0.2930927193528314,0.14002255733322194,-0.21393541223281207,,-0.21082872928176796,0.3333333333333333,,-0.4191117524450858,,-0.7129909365558912,,0.1340366118523115,,0.01609096760351856,0.0,0.4949619939897472,0.14413565708902495,0.14290645495340007,0.4722144260454673,-0.023054070112893642,,0.07809766184189598,-0.3645320197044335,,-0.35348837209302325,-0.17073760580411124,0.14485003487561032,-0.03875968992248062,0.060720042987641054,,,,-0.20967438358742707,,0.0,,,,,-0.26263537906137185,,0.04325749060041087,,,-0.3459715639810427,0.23832599118942732,,,,,0.02325187651673345,0.0768775872264932,0.0031185031185031187,0.2683627004553554,,-0.12066021627774616,0.1216515609264854,0.09343710428569507,0.5276571097596293,,,,0.20420664206642067,,-0.2435746901500326,0.733215991953734,0.629145728643216,-0.03711790393013101,,0.0,,0.25,-1.2954545454545454,0.5230769230769231,,2.353478712357217,,-0.33575581395348836,,,,,-0.45149253731343286,0.4020442930153322,-0.23157894736842105,0.12215234102026555,,,-0.10828025477707007,,-0.5263157894736842,,-0.13592974417716686,0.0,-0.2320692164631681,-0.10756861657887441,0.07556453738687285,,0.02078102000173175,-0.2899438489025013,-0.3972194637537239,0.4043010752688172,-0.33093525179856115,1.2325581395348837,,,,0.5600403632694249,-0.12807122677852922,-0.30833333333333335,-0.16870207327463788,-1.1804908356632495,,0.025780189959294438,,
2020-03-31,-0.02460635476042666,-0.05868544600938967,,-0.33914125700062225,0.05664397009064706,-0.1854353659665032,,-0.24972375690607734,0.3333333333333333,,-0.3665223665223665,,-0.7129909365558912,,0.2916537387527149,,0.009225488092683974,0.0131888836552049,0.3983265570679394,0.31559114460668863,0.39420089748015186,0.3927869772663486,-0.025906120023767083,,0.009702560839828216,0.3054187192118227,,-0.5124735729386892,-0.13978234582829505,-0.07137874912810974,-0.2054263565891473,-0.08758731864588931,,,,-0.20892151326933936,,,,,,,-0.23104693140794225,,0.010853133842396992,,,0.08056872037914692,0.13193832599118943,,,,,-0.02460635476042666,0.1028976936723832,,0.21569986141358147,,-0.34718269778030736,0.03867069486404834,0.021328034442082196,0.40139009556907035,,,,1.5355719557195573,,1.6898891063274626,0.09152627608750315,0.7326633165829146,-0.19868995633187772,,-0.06521739130434782,,0.25,0.7954545454545454,0.010256410256410256,,1.0533748701973,,0.21656976744186046,,,,,-0.5261194029850746,-0.34071550255536626,-0.29473684210526313,-0.6157931516422083,,,0.5764331210191083,,-0.5964912280701754,,-0.1618938526155021,-0.06521739130434782,-0.07520012937656667,-0.0033268644302744664,0.06502064844916967,,-0.005195255000432938,-0.19737961545005955,-0.34305317324185247,0.1978494623655914,-0.15827338129496402,0.813953488372093,,,,0.31786074672048437,-0.08663641811488743,-0.3416666666666667,-0.09031525134904857,0.30444237340789065,,0.6472184531886025,,
